Dzielnica;Metraz;Pokoje;Pietro;Cena
Krzyki;84;5;0;450000
Krzyki;45;2;1;340000
Krzyki;70;3;4;520000
Stare Miasto;90;3;1;399000
Psie Pole;53;2;3;470000
Psie Pole;42;2;2;339000
Psie Pole;37;2;0;200000
Psie Pole;37;2;7;248000
Psie Pole;64;3;1;425000
Psie Pole;56;3;2;325000
Psie Pole;37;2;5;220000
Srodmiescie;90;3;1;440000
Srodmiescie;60;3;3;379000
Krzyki;50;2;1;310000
Stare Miasto;56;3;4;385000
Stare Miasto;41;1;4;240000
Krzyki;50;2;0;350000
Fabryczna;38;2;4;230000
Fabryczna;30;2;2;175000
Srodmiescie;54;3;0;305000
Psie Pole;55;2;6;370000
Psie Pole;56;3;0;330000
Srodmiescie;68;3;4;495000
Krzyki;62;3;1;420000
Psie Pole;57;3;1;249000
Psie Pole;51;3;1;299000
Psie Pole;63;3;0;435000
Srodmiescie;57;3;1;360000
Psie Pole;37;2;2;310000
Psie Pole;51;2;3;405000
Psie Pole;36;2;2;269000
Psie Pole;90;4;3;600000
Psie Pole;62;3;2;370000
Fabryczna;66;3;0;329000
Fabryczna;50;2;2;309000
Krzyki;53;2;2;355000
Krzyki;33;1;1;250000
Krzyki;51;2;0;395000
Krzyki;135;4;3;550000
Krzyki;48;2;2;360000
Krzyki;55;2;4;399000
Krzyki;32;1;0;250000
Krzyki;50;2;3;309000
Krzyki;50;2;0;385000
Krzyki;100;3;3;615000
Krzyki;54;2;0;410000
Psie Pole;32;2;6;200000
Psie Pole;53;2;0;180000
Psie Pole;46;2;6;295000
Psie Pole;31;1;9;214900
Psie Pole;52;2;5;255000
Psie Pole;63;3;1;365000
Psie Pole;30;1;1;235000
Stare Miasto;43;3;4;360000
Psie Pole;24;1;2;190000
Krzyki;35;2;3;250000
Krzyki;49;2;2;285000
Psie Pole;65;3;0;470000
Krzyki;34;2;8;235000
Fabryczna;46;2;2;275000
Fabryczna;36;2;4;220000
Psie Pole;48;2;2;290000
Psie Pole;50;2;1;299000
Srodmiescie;33;1;3;190000
Stare Miasto;38;2;1;295000
Psie Pole;37;2;4;205000
Psie Pole;100;3;5;428000
Psie Pole;52;2;3;300000
Psie Pole;63;3;2;380000
Stare Miasto;21;1;2;245000
Psie Pole;52;2;5;265000
Psie Pole;52;2;3;289000
Psie Pole;52;2;9;260000
Psie Pole;52;2;3;325000
Krzyki;71;3;3;360000
Krzyki;40;2;3;300000
Psie Pole;57;3;6;259000
Psie Pole;50;2;6;277000
Psie Pole;67;2;11;325000
Psie Pole;64;3;2;368000
Psie Pole;50;2;8;265000
Psie Pole;50;2;6;339000
Psie Pole;50;2;7;260000
Stare Miasto;49;3;0;320000
Stare Miasto;49;3;2;350000
Stare Miasto;50;3;2;335000
Krzyki;32;1;1;219000
Krzyki;45;2;0;283500
Krzyki;35;2;0;215000
Krzyki;42;2;3;210000
Krzyki;55;4;6;290000
Krzyki;54;3;1;350000
Krzyki;33;2;3;229000
Krzyki;55;3;9;330000
Krzyki;65;3;5;368000
Krzyki;68;3;5;385000
Krzyki;36;2;0;245000
Krzyki;37;2;2;255000
Krzyki;42;2;2;293000
Krzyki;42;2;9;290000
Psie Pole;54;2;2;295000
Psie Pole;49;2;2;320000
Srodmiescie;49;2;1;340515
Srodmiescie;55;2;1;374068
Stare Miasto;80;4;4;520000
Stare Miasto;62;2;2;575000
Stare Miasto;57;2;3;375000
Stare Miasto;80;4;1;630000
Krzyki;61;3;3;419000
Srodmiescie;38;2;4;250000
Stare Miasto;54;3;1;359000
Srodmiescie;74;2;1;328856
Srodmiescie;53;3;2;360000
Srodmiescie;45;1;2;265000
Stare Miasto;56;3;5;599000
Stare Miasto;24;1;1;215000
Stare Miasto;28;1;2;349000
Krzyki;84;3;2;487000
Krzyki;62;3;10;360000
Krzyki;44;2;0;225000
Krzyki;68;3;3;420000
Psie Pole;60;3;0;289000
Krzyki;97;4;2;460000
Psie Pole;51;2;1;345000
Krzyki;93;3;1;560000
Psie Pole;20;1;4;165000
Psie Pole;49;2;3;340000
Psie Pole;55;2;0;410000
Psie Pole;56;2;2;350000
Krzyki;113;4;3;590000
Fabryczna;46;2;3;345000
Krzyki;42;2;5;250000
Krzyki;50;2;3;355000
Psie Pole;49;2;2;300000
Psie Pole;50;3;0;375000
Krzyki;51;2;4;269000
Fabryczna;37;1;4;250000
Srodmiescie;45;2;3;300000
Srodmiescie;84;3;3;395000
Krzyki;60;2;3;894000
Psie Pole;76;3;4;385000
Psie Pole;43;2;3;260000
Psie Pole;65;3;1;350000
Psie Pole;50;2;4;360000
Stare Miasto;25;1;1;225000
Krzyki;47;2;3;359000
Krzyki;45;2;2;270000
Krzyki;70;3;1;450000
Krzyki;50;2;0;360000
Krzyki;49;2;3;345000
Krzyki;62;3;0;299000
Krzyki;65;3;2;357000
Krzyki;44;2;2;250000
Krzyki;56;2;2;324000
Srodmiescie;64;2;1;392000
Krzyki;67;3;1;409000
Krzyki;40;2;3;269000
Krzyki;32;1;1;215000
Krzyki;78;3;2;430902
Krzyki;76;3;0;630000
Krzyki;68;3;1;372000
Krzyki;51;1;3;300000
Krzyki;21;1;0;147000
Krzyki;90;3;4;650000
Krzyki;56;2;1;190000
Psie Pole;38;1;3;186700
Psie Pole;43;2;10;220000
Psie Pole;42;2;8;239000
Psie Pole;33;2;1;229000
Psie Pole;55;3;0;309000
Krzyki;48;3;8;300000
Krzyki;24;1;9;165000
Krzyki;70;3;4;339000
Krzyki;70;3;4;480000
Krzyki;47;3;9;300000
Krzyki;49;3;0;295000
Krzyki;102;4;0;570000
Stare Miasto;46;2;5;379000
Krzyki;54;3;4;313200
Krzyki;33;2;9;210000
Krzyki;40;2;2;285000
Krzyki;64;4;0;369000
Psie Pole;63;2;2;310000
Psie Pole;50;2;0;280000
Krzyki;56;3;1;380000
Krzyki;90;4;3;490000
Krzyki;32;1;1;198000
Krzyki;80;3;1;460000
Krzyki;50;2;3;388000
Krzyki;58;2;1;420000
Krzyki;42;2;1;299000
Fabryczna;48;2;4;279000
Fabryczna;80;4;0;500000
Krzyki;62;3;3;320000
Fabryczna;33;1;0;245000
Srodmiescie;50;2;0;439000
Fabryczna;35;1;1;227000
Psie Pole;70;4;3;360000
Psie Pole;85;4;3;445000
Psie Pole;69;3;2;279000
Fabryczna;92;4;2;506000
Krzyki;50;3;3;275000
Krzyki;51;2;3;319000
Krzyki;50;3;1;299000
Fabryczna;41;2;2;190000
Stare Miasto;27;1;6;249612
Fabryczna;64;3;3;320000
Psie Pole;56;2;4;349000
Srodmiescie;73;3;2;560000
Srodmiescie;60;3;2;390000
Srodmiescie;64;2;3;375000
Srodmiescie;104;3;1;540000
Srodmiescie;56;3;7;355000
Srodmiescie;120;6;1;650000
Stare Miasto;39;2;6;245000
Stare Miasto;63;3;6;349000
Stare Miasto;90;4;2;770000
Stare Miasto;39;2;9;249000
Stare Miasto;48;2;1;290000
Psie Pole;59;3;2;355000
Psie Pole;42;2;0;259000
Krzyki;42;2;2;320000
Psie Pole;74;4;4;440000
Psie Pole;46;3;4;255000
Psie Pole;56;3;3;280000
Psie Pole;44;2;2;300000
Psie Pole;44;2;2;298000
Psie Pole;35;2;0;210000
Psie Pole;35;2;2;255000
Fabryczna;34;2;0;185758
Fabryczna;52;3;2;240626
Fabryczna;72;4;0;332166
Fabryczna;48;2;0;246000
Fabryczna;48;2;2;320000
Fabryczna;50;2;0;310000
Psie Pole;57;2;2;490000
Krzyki;54;2;3;325000
Fabryczna;50;3;6;275000
Psie Pole;60;3;4;299000
Psie Pole;64;3;10;260000
Psie Pole;70;4;0;340000
Psie Pole;50;2;7;279000
Krzyki;40;2;3;260000
Krzyki;39;2;0;280000
Krzyki;27;1;8;190000
Krzyki;37;2;2;220000
Krzyki;64;3;4;380000
Krzyki;54;3;3;325000
Krzyki;54;3;3;345000
Krzyki;47;3;7;289000
Krzyki;62;3;9;411111
Krzyki;37;2;4;230000
Krzyki;61;3;9;355000
Fabryczna;37;2;2;182500
Fabryczna;37;1;2;182500
Fabryczna;38;1;3;255000
Stare Miasto;67;4;0;365000
Krzyki;48;2;1;198000
Psie Pole;64;3;3;415000
Psie Pole;44;2;2;310000
Krzyki;45;2;1;285000
Krzyki;44;2;3;220000
Psie Pole;62;3;1;349000
Psie Pole;53;2;2;273000
Psie Pole;50;2;3;350000
Psie Pole;72;3;3;410000
Krzyki;38;2;3;273744
Krzyki;37;1;0;224000
Krzyki;44;2;0;297000
Krzyki;59;2;2;380000
Krzyki;61;2;1;359000
Krzyki;46;2;0;338000
Fabryczna;39;2;1;199000
Fabryczna;48;3;2;339000
Psie Pole;37;2;0;280000
Psie Pole;44;3;2;298000
Psie Pole;38;2;10;275000
Srodmiescie;60;3;1;365000
Srodmiescie;83;4;1;369000
Srodmiescie;55;2;0;356975
Srodmiescie;55;2;4;279000
Srodmiescie;112;4;1;480000
Fabryczna;41;2;8;255000
Fabryczna;48;2;1;278000
Fabryczna;48;2;9;230000
Fabryczna;64;3;1;370000
Fabryczna;49;2;9;250000
Psie Pole;36;2;3;280000
